"quote_id","is_summer","is_autumn","is_winter","is_spring"
1,TRUE,TRUE,TRUE,TRUE
2,FALSE,FALSE,FALSE,TRUE
3,TRUE,FALSE,FALSE,TRUE
4,FALSE,FALSE,TRUE,FALSE
5,FALSE,TRUE,TRUE,FALSE
6,FALSE,TRUE,FALSE,FALSE
7,FALSE,FALSE,TRUE,FALSE
8,TRUE,FALSE,FALSE,FALSE
9,FALSE,FALSE,FALSE,TRUE
10,TRUE,FALSE,FALSE,FALSE
11,TRUE,FALSE,FALSE,FALSE
12,FALSE,FALSE,TRUE,FALSE
13,FALSE,FALSE,TRUE,FALSE
14,FALSE,FALSE,TRUE,FALSE
15,TRUE,FALSE,FALSE,FALSE
16,FALSE,TRUE,TRUE,FALSE
17,FALSE,TRUE,TRUE,FALSE
18,FALSE,FALSE,TRUE,FALSE
19,FALSE,FALSE,TRUE,FALSE
20,FALSE,TRUE,TRUE,FALSE
21,FALSE,FALSE,FALSE,TRUE
22,FALSE,FALSE,TRUE,FALSE
23,TRUE,FALSE,FALSE,FALSE
24,TRUE,FALSE,FALSE,FALSE
25,FALSE,FALSE,TRUE,TRUE
26,FALSE,TRUE,TRUE,FALSE
27,FALSE,FALSE,TRUE,FALSE
28,FALSE,FALSE,TRUE,FALSE
29,FALSE,TRUE,TRUE,FALSE
30,FALSE,TRUE,FALSE,FALSE
31,FALSE,FALSE,TRUE,FALSE
32,FALSE,FALSE,TRUE,FALSE
33,FALSE,TRUE,FALSE,FALSE
34,FALSE,FALSE,TRUE,FALSE
35,FALSE,FALSE,TRUE,FALSE
36,FALSE,FALSE,TRUE,FALSE
37,TRUE,FALSE,FALSE,FALSE
38,FALSE,FALSE,TRUE,FALSE
39,FALSE,FALSE,TRUE,FALSE
40,TRUE,FALSE,FALSE,TRUE
41,FALSE,FALSE,TRUE,FALSE
42,FALSE,FALSE,TRUE,TRUE
43,FALSE,FALSE,TRUE,FALSE
44,FALSE,FALSE,TRUE,FALSE
45,TRUE,FALSE,FALSE,FALSE
46,FALSE,TRUE,TRUE,FALSE
47,FALSE,FALSE,TRUE,TRUE
48,FALSE,FALSE,TRUE,FALSE
49,FALSE,TRUE,FALSE,FALSE
50,TRUE,FALSE,FALSE,FALSE
51,TRUE,TRUE,TRUE,TRUE
52,TRUE,FALSE,FALSE,FALSE
53,FALSE,TRUE,FALSE,FALSE
54,FALSE,FALSE,TRUE,FALSE
55,TRUE,FALSE,FALSE,FALSE
56,TRUE,FALSE,FALSE,FALSE
57,FALSE,TRUE,FALSE,FALSE
58,TRUE,FALSE,FALSE,FALSE
59,FALSE,TRUE,TRUE,FALSE
60,FALSE,FALSE,TRUE,FALSE
61,TRUE,FALSE,FALSE,FALSE
62,TRUE,FALSE,FALSE,FALSE
63,FALSE,FALSE,TRUE,FALSE
64,FALSE,FALSE,FALSE,FALSE
65,FALSE,FALSE,FALSE,TRUE
